id,sncl_id,metric_id,value,starttime,endtime,datasrc_id,created_at
"12789992","4099","105","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:30"
"12789993","4099","106","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:30"
"12789994","4099","107","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:30"
"12789995","4099","108","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:30"
"12789996","4102","99","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:31"
"12789997","4102","100","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:31"
"12789998","4102","101","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:31"
"12789999","4102","102","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:31"
"12790000","4102","103","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:31"
"12790001","4102","104","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:31"
"12790002","4102","86","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:31"
"12790003","4102","87","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:31"
"12790004","4102","88","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:31"
"12790005","4102","89","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:31"
"12790006","4102","90","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:31"
"12790007","4102","91","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:31"
"12790008","4102","92","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:31"
"12790009","4102","93","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:31"
"12790010","4102","94","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:31"
"12790011","4102","95","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:31"
"12790012","4102","96","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:31"
"12790013","4102","98","1.02300609104e-05","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:31"
